epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4998.4,0.42819,0.33838,0.92075,0.99088,0.9306,0.97318,0.92906,0.27097,0.2326,0.80656,0.00079705,0.00079705,0.00079705
43,5134.03,0.43108,0.34633,0.92139,0.99542,0.93295,0.9723,0.93263,0.27743,0.24719,0.81289,0.0007921,0.0007921,0.0007921
44,5267.2,0.41577,0.31926,0.92125,0.99951,0.93087,0.96766,0.92968,0.26333,0.24749,0.80446,0.00078715,0.00078715,0.00078715
45,5392.11,0.42014,0.33803,0.91875,0.99596,0.93651,0.96942,0.92664,0.27467,0.24582,0.80707,0.0007822,0.0007822,0.0007822
46,5507.76,0.43231,0.34494,0.92384,0.98948,0.94554,0.97168,0.93194,0.25331,0.2424,0.79872,0.00077725,0.00077725,0.00077725
47,5623.79,0.42243,0.33957,0.91755,1,0.93923,0.97138,0.93205,0.26871,0.23478,0.81074,0.0007723,0.0007723,0.0007723
48,5738.24,0.41399,0.31981,0.91702,0.98931,0.94499,0.97124,0.93382,0.26923,0.2338,0.80392,0.00076735,0.00076735,0.00076735
49,5857.15,0.41073,0.33423,0.90834,0.98789,0.94233,0.97236,0.93615,0.25307,0.22916,0.79892,0.0007624,0.0007624,0.0007624
50,5982.36,0.40638,0.31061,0.90456,0.9827,0.94102,0.97209,0.93725,0.25692,0.22845,0.79687,0.00075745,0.00075745,0.00075745
51,6115.86,0.3903,0.3135,0.89285,0.99202,0.93121,0.96872,0.93249,0.27299,0.24344,0.80816,0.0007525,0.0007525,0.0007525
52,6232.91,0.40518,0.31619,0.90263,0.98387,0.92776,0.97173,0.9346,0.26743,0.23325,0.80581,0.00074755,0.00074755,0.00074755
53,6349.1,0.4041,0.31548,0.89785,0.98852,0.92776,0.96625,0.92948,0.26466,0.24828,0.80275,0.0007426,0.0007426,0.0007426
54,6466.85,0.40825,0.31788,0.90571,0.98745,0.93693,0.96787,0.93134,0.26238,0.24614,0.8014,0.00073765,0.00073765,0.00073765
